epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1961,2.19716,3.08611,2.29872,0.00287,0.5,0.4975,0.39754,1.66581,3.38726,1.91179,6.668e-05,6.668e-05,6.668e-05
2,25.0594,1.74289,2.90763,1.93482,0.00328,0.5,0.4975,0.31083,1.8789,3.40559,2.36218,0.000147059,0.000147059,0.000147059
3,36.8729,1.5847,2.53228,1.74061,0.00518,0.625,0.50149,0.2537,2.24633,3.27093,2.55109,0.000224138,0.000224138,0.000224138
4,48.3099,1.3979,2.08625,1.60753,0.00533,0.625,0.37612,0.2178,2.31653,3.24442,2.69134,0.000297916,0.000297916,0.000297916
5,59.7512,1.38996,1.79507,1.61804,0.00627,0.625,0.41786,0.24979,2.19949,3.13078,2.58186,0.000368394,0.000368394,0.000368394
6,71.2704,1.25427,1.76108,1.54307,0.93073,0.5,0.50741,0.23073,2.2957,2.97497,2.80489,0.00043557,0.00043557,0.00043557
7,82.7091,1.32589,1.64719,1.60301,0.59125,0.25,0.26719,0.07904,2.57001,2.94185,3.08233,0.000499447,0.000499447,0.000499447
8,94.1912,1.37985,1.55248,1.50599,0.31936,0.375,0.22541,0.07945,2.87193,2.93777,3.2247,0.000560022,0.000560022,0.000560022
9,105.594,1.21264,1.41298,1.4708,0.74196,0.25,0.19518,0.09797,2.72349,3.11855,3.06104,0.000617297,0.000617297,0.000617297
10,116.953,1.16289,1.30832,1.41691,0.87078,0.25,0.33181,0.17119,2.21142,3.14869,2.87392,0.000671271,0.000671271,0.000671271
11,128.241,1.12741,1.29894,1.38579,0.56578,0.25,0.03583,0.00717,3.71383,5.06442,4.10519,0.000721944,0.000721944,0.000721944
12,139.456,1.07489,1.23002,1.37218,0.55932,0.5,0.06726,0.02996,3.42726,5.65627,4.29239,0.000769317,0.000769317,0.000769317
13,150.875,1.14914,1.26908,1.40427,0.82475,0.25,0.30306,0.14603,3.42448,3.65112,4.29753,0.000813389,0.000813389,0.000813389
14,162.353,1.20284,1.26852,1.45869,1,0.48689,0.4994,0.21016,3.5026,3.4241,3.69704,0.000854161,0.000854161,0.000854161
15,173.639,1.13675,1.2044,1.40321,0.98498,0.5,0.53126,0.25219,2.69608,2.60994,3.23036,0.000891632,0.000891632,0.000891632
16,184.978,1.0048,1.11122,1.34711,0.97601,0.5,0.54701,0.24243,2.68893,2.5172,3.42218,0.000925802,0.000925802,0.000925802
17,196.325,1.01948,1.03179,1.30113,0.98587,0.5,0.52388,0.2318,2.93103,2.5353,3.43558,0.000956671,0.000956671,0.000956671
18,207.867,1.0509,1.12205,1.31784,0.96553,0.5,0.52664,0.21062,2.86541,2.66807,3.27046,0.00098424,0.00098424,0.00098424
19,219.129,1.05584,1.0042,1.33784,0.94641,0.5,0.53934,0.26541,2.43265,2.80749,2.72036,0.00100851,0.00100851,0.00100851
20,230.427,0.99921,1.05613,1.31355,0.38078,0.625,0.37687,0.2917,1.7914,3.43387,2.54527,0.00102948,0.00102948,0.00102948
21,241.947,0.93962,0.97804,1.22953,0.52846,0.61389,0.40153,0.21089,1.995,3.5948,2.36779,0.00100687,0.00100687,0.00100687
22,253.505,1.01428,1.05214,1.33581,0.36432,0.625,0.29137,0.16584,2.21143,3.17414,2.85074,0.000973861,0.000973861,0.000973861
23,264.899,1.01372,1.01495,1.34154,0.51972,0.625,0.4013,0.20604,2.20835,2.827,2.79826,0.000940855,0.000940855,0.000940855
24,276.739,0.99397,0.98419,1.26069,0.82809,0.5,0.36311,0.1967,2.23553,2.69229,2.83856,0.000907848,0.000907848,0.000907848
25,288.415,0.97096,0.94473,1.27423,0.8285,0.5,0.36125,0.18865,2.26942,2.82879,2.74007,0.000874842,0.000874842,0.000874842
26,299.744,0.93206,0.88852,1.23575,0.82615,0.5,0.34052,0.20622,2.21041,2.73142,2.78302,0.000841835,0.000841835,0.000841835
27,311.279,0.88896,0.88357,1.19747,0.81808,0.5,0.46761,0.31771,2.19181,2.62861,2.72406,0.000808828,0.000808828,0.000808828
28,322.811,0.92133,0.85101,1.19521,0.98158,0.5,0.59752,0.36325,2.07425,2.40589,2.4588,0.000775822,0.000775822,0.000775822
29,334.198,0.83557,0.85885,1.21342,0.98592,0.5,0.62185,0.3694,2.00661,2.2943,2.33398,0.000742815,0.000742815,0.000742815
30,345.553,0.9222,1.06512,1.27748,0.48524,0.5,0.60529,0.29618,1.97805,2.33068,2.54482,0.000709809,0.000709809,0.000709809
31,356.774,0.83436,0.86499,1.18822,0.5,0.48266,0.54674,0.30135,2.19174,2.52427,2.78707,0.000676802,0.000676802,0.000676802
32,368.101,0.80319,0.82608,1.1407,0.66407,0.60909,0.56365,0.2554,2.48591,2.56864,2.99412,0.000643795,0.000643795,0.000643795
33,379.294,0.7618,0.80587,1.14973,0.44939,0.625,0.37294,0.17828,2.40745,2.52509,2.8921,0.000610789,0.000610789,0.000610789
34,390.753,0.7517,0.79264,1.1226,0.42127,0.60545,0.41623,0.21078,2.35518,2.47526,2.945,0.000577782,0.000577782,0.000577782
35,402.155,0.80856,0.78849,1.13452,0.2703,0.73529,0.29732,0.14778,2.33775,2.40211,3.09395,0.000544776,0.000544776,0.000544776
36,413.401,0.72953,0.74945,1.14381,0.49648,0.75,0.5486,0.34566,2.03119,2.26072,2.79686,0.000511769,0.000511769,0.000511769
37,424.634,0.80265,0.79755,1.16877,0.4203,0.75,0.50722,0.33229,1.92626,2.12096,2.52876,0.000478762,0.000478762,0.000478762
38,436.029,0.7894,0.88385,1.1822,0.417,0.75,0.50449,0.30387,1.98187,2.1072,2.4908,0.000445756,0.000445756,0.000445756
39,447.514,0.6935,0.74522,1.11258,0.32097,0.625,0.4254,0.29862,1.90165,2.14631,2.42225,0.000412749,0.000412749,0.000412749
40,458.891,0.74886,0.8317,1.16691,0.29788,0.625,0.43501,0.33133,2.07066,2.20383,2.37088,0.000379743,0.000379743,0.000379743
41,469.923,0.82634,1.35625,1.28696,1,0.49187,0.56687,0.39298,2.00427,2.12221,2.33846,0.000346736,0.000346736,0.000346736
42,481.083,0.77895,1.0101,1.18239,0.98643,0.5,0.54949,0.38792,1.95302,2.10326,2.35936,0.000313729,0.000313729,0.000313729
43,492.282,0.74056,0.92663,1.18041,0.98568,0.5,0.52157,0.38429,1.98095,2.20016,2.37726,0.000280723,0.000280723,0.000280723
44,503.358,0.73131,0.85256,1.17278,0.48992,0.5,0.52973,0.3835,2.01545,2.20352,2.55202,0.000247716,0.000247716,0.000247716
45,514.448,0.69847,0.83194,1.1515,0.4284,0.625,0.52904,0.38644,2.00374,2.23359,2.57391,0.00021471,0.00021471,0.00021471
46,525.598,0.75258,0.85479,1.28944,0.5029,0.625,0.53646,0.39334,1.94184,2.22682,2.42583,0.000181703,0.000181703,0.000181703
47,536.759,0.83373,0.87197,1.22804,0.50757,0.75,0.5846,0.39834,1.92147,2.18272,2.39449,0.000148696,0.000148696,0.000148696
48,548.108,0.73034,0.83037,1.18388,0.49092,0.625,0.56131,0.39833,1.83383,2.04411,2.3041,0.00011569,0.00011569,0.00011569
49,559.312,0.73962,0.84935,1.14323,0.45742,0.625,0.55881,0.39544,1.80229,1.96777,2.29833,8.26832e-05,8.26832e-05,8.26832e-05
50,570.648,0.6668,0.77244,1.11536,0.45415,0.625,0.55773,0.39515,1.79214,1.94325,2.29613,4.96766e-05,4.96766e-05,4.96766e-05
